"st_cnty","night_pop","day_pop"
"21031","12772","11064"
"21033","12715","10686"
"21035","39135","41068"
"21037","93152","83238"
"21039","4771","3716"
"21041","10737","13071"
"21043","27004","24202"
"21045","15888","12623"
"21047","71671","80528"
"21049","36249","34833"
"21051","20105","19217"
"21053","10206","10619"
"21055","8915","7331"
"21057","6659","5431"
"21059","101104","107092"
"21061","12274","9372"
"21063","7508","6537"
"21065","14198","11626"
"21067","323780","371382"
"21069","14432","11561"
"21071","35845","36903"
"21073","50815","60051"
"21075","6120","6316"
"21077","8832","6682"
"21079","17560","12453"
"21081","25121","18006"
"21083","37317","33296"
"21085","26321","23981"
"21087","11049","7542"
"21089","35268","31169"
"21091","8758","8930"
"21093","110356","112402"
"21095","26409","28252"
"21097","18778","15054"
"21099","18906","16148"
"21101","45591","45304"
"21103","16106","11058"
"21105","4421","3851"
"21107","45068","45905"
"21109","13442","10238"
"21111","770517","891887"
"21113","53920","46172"
"21115","22386","22690"
"21117","166051","152043"
"21119","15126","13375"
"21121","31304","29520"
"21123","14307","11160"
"21125","60669","64697"
"21127","15571","14263"
"21129","7033","5993"
"21131","10143","8896"
"21133","21899","20215"
"21135","13257","10934"
"21137","24644","19490"
"21139","9242","8289"
"21141","26989","24442"
"21143","8009","7728"
"21145","65346","79891"
"21147","17408","14386"
"21149","9252","7479"
"21151","92368","87742"
"21153","12362","10026"
"21155","19404","17951"
"21157","31191","28772"
"21159","11323","11525"
"21161","17150","19639"
"21163","28715","21217"
"21165","6451","4777"
"21167","21774","18633"
"21169","10030","7940"
"21171","10718","9698"
"21173","28203","27893"
"21175","13345","12050"
"21177","30774","30521"
"21179","45851","41266"
"21181","7166","4233"
"21183","24087","22870"
"21185","66470","47316"
"21187","10880","7662"
"21189","4472","4293"
"21191","14529","10374"
"21193","26092","31087"
"21195","58402","63078"
"21197","12442","10748"
"21199","64623","67876"
"21201","2135","1729"
"21203","16750","12709"
"21205","24583","29520"
"21207","17821","18264"
"21209","56031","55810"
"21211","48518","42654"
"21213","18529","19130"
"21215","18794","10067"
"21217","25549","28929"
"21219","12311","9384"
"21221","14643","11935"
"21223","8515","5857"
"21225","14505","13231"
"21227","131264","143123"
"21229","12084","8377"
"21231","20468","18394"
"21233","13111","10919"
"21235","36242","36902"
"21237","7177","6399"
"21239","26533","21718"
"22001","62190","56520"
"22003","25605","24701"
"22005","124672","108836"
"22007","22300","17134"
"22009","40462","37073"
"22011","37253","30934"
"22013","13308","12439"
"22015","127185","117729"
"22017","242922","265189"
"22019","203112","206730"
"22021","9960","8698"
"22023","6968","16705"
"22025","9608","8444"
"22027","15944","13950"
"22029","19572","18866"
"22031","27436","24819"
"22033","440956","520613"
"22035","7037","7687"
"22037","19305","15666"
"22039","33443","30878"
"22041","20156","18206"
"22043","22482","17996"
"22045","70941","70524"
"22047","32721","38219"
"22049","15902","12671"
"22051","434051","419273"
"22053","31582","27770"
"22055","242782","283544"
"22057","98115","96732"
"22059","14917","13541"
"22061","47196","52066"
"22063","139567","102950"
"22065","11161","11985"
